coin,hold,coin_wait_15
KRW-ENJ,False,False
KRW-SAND,True,True
KRW-TRX,True,True
KRW-BTT,True,True
KRW-XRP,False,False
KRW-DKA,True,True
KRW-MLK,False,False
KRW-AQT,False,False
KRW-MED,False,False
KRW-BTC,True,True
KRW-ADA,True,True
KRW-ETH,False,False
KRW-BCH,False,False
KRW-PCI,False,False
KRW-BORA,False,False
KRW-XLM,False,False
KRW-XEM,False,False
KRW-EOS,False,False
KRW-STRAX,True,True
KRW-PUNDIX,True,True
KRW-MANA,False,False
KRW-STRK,False,False
KRW-QTUM,True,True
KRW-HBAR,False,False
KRW-SNT,True,True
KRW-VET,True,True
KRW-STX,False,False
KRW-SC,True,True
KRW-CRO,False,False
KRW-NEO,True,True
KRW-GAS,True,True
